# kanazawa-triples.tsv - Japanese medical vocabulary with English + Latin combining form
# source: kt.kanazawa-med.ac.jp/english/2-1.pdf
# columns: reading<TAB>japanese<TAB>english<TAB>latin<TAB>section
ゆび	指	finger	dactyl/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
あし	足	foot	pod/o, ped/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
しし	四肢	extremities	acr/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
せんたん	先端	extremities	acr/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
はらがわの	腹側の	belly	ventr/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
おへ	尾へ	tail	caud/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
ぜんぽうの	前方の	forward	anter/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
こうほうの	後方の	backward	poster/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
そとがわの	外側の	side	later/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
みぎがわ	右側	right	dextr/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
ひだりがわ	左側	left	sinistr/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
